Partlist

Exported from happyboard.brd at 5/26/11 9:08 PM

EAGLE Version 5.6.0 Copyright (c) 1988-2009 CadSoft

Part     Value                  Package         Library          Position (inch)       Orientation
L2       10uH                   SM-1206         inductor-neosid  (3.21 1.34)           R90
L3       1uH                    R1206           enut202          (3.864055 0.067795)   R180
L7       5uH                    CDRH5D18        rng              (3.355 2.155)         R90
L8       CDRH127 68uH           CDRH127         rng              (1.185 2.64)          R270
Q2       8MHz                   CITIZEN-CRYSTAL rng              (2.045 2.26)          R180
Q4       8MHz                   SM49            rng              (2.85 2.2)            R180
R1       1K                     R0603           enut202          (0.15 2)              R180
R2       1K                     R0603           enut202          (0.15 2.7)            R180
R3       1K                     R0603           enut202          (0.15 1.225)          R180
R4       1K                     R0603           enut202          (0.15 1.925)          R180
R5       1K                     R0603           enut202          (0.15 0.45)           R180
R6       1K                     R0603           enut202          (0.15 1.15)           R180
R7       0.2                    R1206           enut202          (1.3 2.14)            MR0
R8       0.2                    R1206           enut202          (1.3 2.06)            MR0
R9       0.2                    R1206           enut202          (1.3 1.618937)        MR0
R10      0.2                    R1206           enut202          (1.3 1.535)           MR0
R11      0.2                    R1206           enut202          (1.3 1.09)            MR0
R12      0.2                    R1206           enut202          (1.3 1.01)            MR0
R13      7.68K                  R0603           enut202          (1.74 2.985)          R0
R14      1.2K                   R0603           enut202          (1.55 2.985)          R180
R15      6.3K                   R0603           enut202          (1.375 2.945)         R90
R40      3K                     R0603           enut202          (1.45 2.04)           R270
R41      3K                     R0603           enut202          (1.45 2.16)           R90
R42      3K                     R0603           enut202          (1.45 1.52)           R270
R43      3K                     R0603           enut202          (1.45 1.64)           R90
R44      3K                     R0603           enut202          (1.45 0.99)           R270
R45      3K                     R0603           enut202          (1.45 1.11)           R90
R46      56                     R0603           enut202          (2.35 1.32)           R90
R47      56                     R0603           enut202          (1.64 2.02)           R270
R48      330                    R0603           enut202          (1.71 2.02)           R90
R50      4.7K                   R0603           enut202          (2.445 2.185)         MR180
R51      10K                    R0603           enut202          (1.641929 2.3)        R270
R52      10K                    R0603           enut202          (3.54 1.485)          MR90
R53      560                    R0603           enut202          (4.226378 0.385827)   R90
R54      560                    R0603           enut202          (4.227087 0.50748)    R90
R55      4.7K                   R0603           enut202          (1.577008 2.3)        R90
R56      10K                    R0603           enut202          (3.74 1.485)          MR90
R57      47K                    R0603           enut202          (0.45 2.385)          R270
R58      47K                    R0603           enut202          (1.45 2.3)            R180
R59      47K                    R0603           enut202          (0.5 1.82)            R180
R60      47K                    R0603           enut202          (1.45 1.78)           R180
R61      47K                    R0603           enut202          (0.5 1.3)             R180
R62      47K                    R0603           enut202          (1.45 1.25)           R180
R66      200K                   R0603           enut202          (3.325 0.98)          MR270
R71      10K                    R0603           enut202          (3.54 1.485)          R90
R72      4.7K                   R0603           enut202          (3.73 2.19)           R180
RN1      47K                    0603-ARC        rng              (2.575 0.35)          MR0
RN2      47K                    0603-ARC        rng              (2.175 0.35)          MR0
RN3      47K                    0603-ARC        rng              (3.782677 0.337205)   MR270
RN4      47K                    0603-ARC        rng              (3.075 0.35)          MR0
RN5      47K                    0603-ARC        rng              (1.775 0.35)          MR0
RN6      47K                    0603-ARC        rng              (1.051969 0.299409)   MR90
RN7      47K                    0603-ARC        rng              (0.478543 0.35)       MR0
S2       tact                   TL3301          rng              (3.17 0.73)           R0
S3       tact                   TL3301          rng              (3.62 0.73)           R0
SV1                             1X08            SparkFun         (4.21063 1.92874)     R90
SW1                             EDG-04          special          (3.95748 0.337008)    R0
SW2                             EDG-04          special          (0.927559 0.297638)   R0
U$10     L202021MA04Q           L202021MA04Q    00TshenLib       (3.175591 2.819291)   R270
U1       FT232RL                SSOP-28         ftdi4            (3.665 1.095)         R0
U2       ATMEGA128L             TQFP64          enut202          (2.85 1.69)           R90
U3       PQ1T251M2ZP            SOT23-5         rng              (2.185 2.61)          R180
U4       XC3S50                 VQ100           happyboard       (2.05 1.69)           R90
U5       L6205N                 DIL20           rng              (0.9 2.1)             R0
U6       L6205N                 DIL20           rng              (0.9 1.575)           R0
U7       L6205N                 DIL20           rng              (0.9 1.05)            R0
U8       CY7C199                SOJ28-4         rng              (2.61 0.95)           R180
U9       CD40109B               TSSOP16         rng              (1.24 0.635)          R270
U10      A8447                  SO-08-PAD       rng              (1.64 2.85)           R90
U11      MCP3008                SO16            happyboard       (1.8 1)               MR90
U12      LT1767EMS8E            MSOP8E          rng              (3.635 2.36)          R270
U13      GTL2010PW              TSSOP24         happyboard       (3.17 1.08)           R180
U15      AT45DB011B             SO8             atmel            (3.66 0.96)           MR90
U16      LP36890                SOT223-5        rng              (3.435 1.845)         R90
U17      ADP171X                SOT23-5         rng              (2.13 2.955)          R90
U18      MCP3008                SO16            happyboard       (2.035 0.67)          R0
U19      MCP3008                SO16            happyboard       (1.61 0.67)           R0
U20      MCP130T                SOT23           rng              (3.68 1.495)          R270
VR1      FROBKNOB               FROBKNOB        rng              (4.2 1.55)            R270
~NUDEV~1 GND-GNDA1,27MM         GND-GNDA-1,27MM ground-junctions (2.444882 2.957874)   R180
