Partlist

Exported from happyboard.brd at 7/25/2010 9:21:01 PM

EAGLE Version 5.6.0 Copyright (c) 1988-2009 CadSoft

Part     Value                  Package             Library         Position (mm)         Orientation
J10      16x1 Pin Female Header FE16-1              happyboard      (50.165 11.43)        R180
J11      16x2 Pin Female Header FE16-2              happyboard      (50.165 5.08)         R0
J12      4x1 Pin Female Header  FE04-1              happyboard      (22.225 11.43)        R180
J13      4x2 Pin Female Header  FE04-2              happyboard      (23.495 5.08)         R0
J14      6x1 Pin Male Header    MA06-1              happyboard      (16.51 69.85)         R270
J15      6x2 Pin Male Header    MA06-2              happyboard      (20.32 69.85)         R90
J16      MINIUSB                UX60A-MB-5SY        rng             (103.124 20.32)       R90
J17      POWER_JACKPTH_LOCK     POWER_JACK_PTH_LOCK SparkFun        (111.41 73.05)        R90
L1       31                     SM-1206             inductor-neosid (100.584 28.702)      R90
L2       10uH                   SM-1206             inductor-neosid (81.534 34.036)       R90
L3       1uH                    R1206               enut202         (94.742 4.953)        R90
L7       5uH                    CDRH5D18            rng             (85.217 54.737)       R90
L8       CDRH127 68uH           CDRH127             rng             (30.099 67.056)       R270
L9       HCP0703                HCP0703             00TshenLib      (88.11 71.85)         R90
Q2       8MHz                   CITIZEN-CRYSTAL     rng             (51.943 57.404)       R180
Q4       8MHz                   SM49                rng             (72.39 55.88)         R180
R1       1K                     R0603               enut202         (3.81 50.8)           R180
R2       1K                     R0603               enut202         (3.81 68.58)          R180
R3       1K                     R0603               enut202         (3.81 31.115)         R180
R4       1K                     R0603               enut202         (3.81 48.895)         R180
R5       1K                     R0603               enut202         (3.81 11.43)          R180
R6       1K                     R0603               enut202         (3.81 29.21)          R180
R7       0.2                    R1206               enut202         (33.02 54.356)        MR0
R8       0.2                    R1206               enut202         (33.02 52.324)        MR0
R9       0.2                    R1206               enut202         (33.02 41.021)        MR0
R10      0.2                    R1206               enut202         (33.02 38.989)        MR0
R11      0.2                    R1206               enut202         (33.02 27.686)        MR0
R12      0.2                    R1206               enut202         (33.02 25.654)        MR0
R13      7.68K                  R0603               enut202         (44.196 75.819)       R0
R14      1.2K                   R0603               enut202         (39.37 75.819)        R180
R15      6.3K                   R0603               enut202         (34.925 74.803)       R90
R40      3K                     R0603               enut202         (36.83 51.816)        R270
R41      3K                     R0603               enut202         (36.83 54.864)        R90
R42      3K                     R0603               enut202         (36.83 38.608)        R270
R43      3K                     R0603               enut202         (36.83 41.656)        R90
R44      3K                     R0603               enut202         (36.83 25.146)        R270
R45      3K                     R0603               enut202         (36.83 28.194)        R90
R46      56                     R0603               enut202         (59.69 33.528)        R90
R47      56                     R0603               enut202         (41.656 51.308)       R270
R48      330                    R0603               enut202         (43.434 51.308)       R90
R50      4.7K                   R0603               enut202         (62.103 55.499)       MR180
R51      10K                    R0603               enut202         (40.005 58.42)        R270
R52      10K                    R0603               enut202         (89.916 37.719)       MR90
R53      560                    R0603               enut202         (105.41 7.62)         R90
R54      560                    R0603               enut202         (107.188 7.62)        R90
R55      4.7K                   R0603               enut202         (41.656 58.42)        R90
R56      10K                    R0603               enut202         (94.996 37.719)       MR90
R57      47K                    R0603               enut202         (11.43 60.579)        R270
R58      47K                    R0603               enut202         (36.83 58.42)         R180
R59      47K                    R0603               enut202         (12.7 46.228)         R180
R60      47K                    R0603               enut202         (36.83 45.212)        R180
R61      47K                    R0603               enut202         (12.7 33.02)          R180
